disease,combined_text
Panic Disorder,"Disease: Panic Disorder | Disease Description: Panic disorder is a mental health condition marked by sudden, unexpected panic attacks—intense periods of fear or discomfort—often accompanied by physical symptoms like chest pain, rapid heartbeat, shortness of breath, or dizziness. | Precautions Recommendation: Practice deep breathing, Avoid caffeine, Follow therapy plan, Seek support from loved ones | Medicines Recommendation: ['SSRIs (e.g., Sertraline, Fluoxetine)', 'Benzodiazepines (e.g., Clonazepam, Alprazolam)', 'SNRIs (e.g., Venlafaxine)', 'Beta-blockers', 'Cognitive Behavioral Therapy (CBT)'] | Diet Recommendation: ['Magnesium-rich foods (spinach, pumpkin seeds, almonds)', 'Omega-3 fatty acids (salmon, flaxseeds, walnuts)', 'Complex carbs (oats, quinoa)', 'Green tea (L-theanine)', 'Limit caffeine and sugar'] | Workouts Recommendation: [""Deep breathing exercises: Calm your mind by focusing on slow, deep breaths"", ""Yoga: Combines breathing and movement for relaxation"", ""Mindfulness meditation: Helps reduce anxiety by staying present"", ""Regular aerobic exercise: Boosts mood and reduces stress""]"
Vaginitis,"Disease: Vaginitis | Disease Description: Vaginitis is inflammation of the vaginal tissue, typically caused by infections (bacterial, fungal, or parasitic), hormonal imbalances, or irritants, resulting in discharge, itching, pain, or burning during urination. | Precautions Recommendation: Wear breathable cotton underwear, Avoid douching, Maintain genital hygiene, Avoid scented hygiene products | Medicines Recommendation: ['Metronidazole', 'Clindamycin', 'Fluconazole', 'Hydrocortisone cream', 'Probiotic supplements'] | Diet Recommendation: ['Probiotics (yogurt, kefir, sauerkraut)', 'Low-sugar diet (avoid sweets, processed sugar)', 'Garlic (raw or cooked)', 'Cranberry juice (unsweetened)', 'Hydration (water, herbal teas)'] | Workouts Recommendation: [""Pelvic floor exercises: Strengthen pelvic muscles to reduce discomfort"", ""Avoid tight clothing: Prevent irritation"", ""Use cotton underwear: Helps keep area dry and breathable"", ""Maintain hygiene: Prevent infections""]"
Problem During Pregnancy,"Disease: Problem During Pregnancy | Disease Description: Problems during pregnancy refer to medical complications such as gestational diabetes, preeclampsia, or fetal growth restriction that can affect the health of the mother or baby during gestation. | Precautions Recommendation: Attend regular prenatal visits, Avoid alcohol and smoking, Eat a balanced diet, Get adequate rest | Medicines Recommendation: ['Prenatal vitamins', 'Iron supplements', 'Antihypertensives (e.g., Labetalol)', 'Insulin (for gestational diabetes)', 'Folic acid'] | Diet Recommendation: ['Prenatal vitamins (consult doctor)', 'Iron-rich foods (red meat, lentils, spinach)', 'Folate-rich foods (leafy greens, fortified cereals)', 'Calcium and Vitamin D (milk, cheese, fortified plant milk)', 'Avoid raw fish, deli meats, unpasteurized dairy'] | Workouts Recommendation: [""Prenatal yoga: Gentle stretches safe for pregnancy"", ""Walking: Keeps you active and healthy"", ""Pelvic tilts: Strengthen core muscles"", ""Kegel exercises: Support pelvic health""]"
Acute Pancreatitis,"Disease: Acute Pancreatitis | Disease Description: Acute pancreatitis is a sudden inflammation of the pancreas that causes severe abdominal pain, nausea, vomiting, and elevated pancreatic enzymes, often due to gallstones or alcohol use. | Precautions Recommendation: Avoid alcohol, Eat a low-fat diet, Stay hydrated, Follow doctor's advice strictly | Medicines Recommendation: ['IV fluids', 'Pain relievers (e.g., Morphine)', 'Antibiotics (if infection)', 'Enzyme replacement therapy', 'Fasting/NPO'] | Diet Recommendation: ['Low-fat foods (boiled vegetables, lean chicken breast)', 'Small frequent meals', 'Broths and clear liquids (chicken broth, vegetable broth)', 'Avoid alcohol and caffeine', 'Lean proteins (tofu, white fish)'] | Workouts Recommendation: [""Avoid heavy lifting: Prevent strain on pancreas"", ""Gentle stretching: Maintain flexibility"", ""Rest: Allow healing"", ""Breathing exercises: Reduce stress and pain""]"
Asthma,"Disease: Asthma | Disease Description: Asthma is a chronic inflammatory disease of the airways causing recurrent wheezing, breathlessness, chest tightness, and coughing, often triggered by allergens, exercise, or cold air. | Precautions Recommendation: Avoid known triggers, Use inhaler as prescribed, Monitor peak flow, Keep emergency inhaler handy | Medicines Recommendation: ['Inhaled corticosteroids (e.g., Fluticasone)', 'Beta-agonists (e.g., Albuterol)', 'Leukotriene modifiers (e.g., Montelukast)', 'Anticholinergics (e.g., Ipratropium)', 'Omalizumab'] | Diet Recommendation: ['Anti-inflammatory foods (blueberries, kale, turmeric)', 'Magnesium-rich foods (pumpkin seeds, spinach)', 'Omega-3s (wild salmon, chia seeds)', 'Avoid dairy if sensitive', 'Vitamin D-rich foods (egg yolks, fortified milk)'] | Workouts Recommendation: [""Breathing exercises: Improve lung function"", ""Yoga: Combines breathing and movement"", ""Swimming: Low-impact cardio good for lungs"", ""Avoid strenuous workouts during flare-ups: Prevent attacks""]"
Infectious Gastroenteritis,"Disease: Infectious Gastroenteritis | Disease Description: Infectious gastroenteritis is an intestinal infection caused by viruses, bacteria, or parasites, leading to symptoms like diarrhea, vomiting, abdominal cramps, and fever. | Precautions Recommendation: Wash hands frequently, Avoid sharing utensils, Drink clean water, Avoid street food | Medicines Recommendation: ['Oral rehydration salts (ORS)', 'Antibiotics (e.g., Ciprofloxacin, if bacterial)', 'Antiemetics (e.g., Ondansetron)', 'Probiotics', 'Loperamide (if appropriate)'] | Diet Recommendation: ['Oral rehydration solution (ORS)', 'BRAT diet (bananas, rice, applesauce, toast)', 'Clear soups (chicken soup)', 'Avoid dairy and greasy foods', 'Probiotics (yogurt, kefir)'] | Workouts Recommendation: [""Rest: Allow the body to recover"", ""Gentle walking: Only after symptoms improve"", ""Hydration focus: Replenish fluids before any activity"", ""Avoid strenuous exercise: Prevent worsening dehydration""]"
Acute Sinusitis,"Disease: Acute Sinusitis | Disease Description: Acute sinusitis is a temporary inflammation or infection of the sinuses, usually following a cold, causing nasal congestion, facial pain, pressure, and headache. | Precautions Recommendation: Use nasal saline spray, Stay hydrated, Avoid allergens, Use warm compresses | Medicines Recommendation: ['Saline nasal spray', 'Decongestants (e.g., Pseudoephedrine)', 'Nasal corticosteroids', 'Antibiotics (if bacterial)', 'Acetaminophen for pain'] | Diet Recommendation: ['Spicy foods (hot peppers, horseradish)', 'Hydration (water, herbal teas)', 'Vitamin C-rich foods (oranges, strawberries)', 'Warm teas (ginger, chamomile)', 'Avoid processed sugars'] | Workouts Recommendation: [""Nasal breathing exercises: Help open airways"", ""Gentle yoga: Promotes drainage"", ""Walking: Low intensity, improves circulation"", ""Avoid cold-weather workouts: Prevent sinus aggravation""]"
Cornea Infection,"Disease: Cornea Infection | Disease Description: Cornea infection (keratitis) is an infection of the transparent front part of the eye, usually caused by bacteria, fungi, or viruses, leading to eye pain, redness, blurred vision, and light sensitivity. | Precautions Recommendation: Avoid touching eyes, Use prescribed eye drops, Wear sunglasses, Don’t share towels or cosmetics | Medicines Recommendation: ['Antibiotic eye drops (e.g., Ciprofloxacin)', 'Antiviral eye drops (e.g., Ganciclovir)', 'Antifungal drops (e.g., Natamycin)', 'Lubricant eye drops', 'Steroids (in selected cases)'] | Diet Recommendation: ['Vitamin A-rich foods (carrots, sweet potatoes, spinach)', 'Zinc-rich foods (pumpkin seeds, beef)', 'Hydration (water)', 'Avoid alcohol and smoking', 'Omega-3-rich foods (flaxseed, salmon)'] | Workouts Recommendation: [""Rest the eyes: Avoid screen-heavy workouts"", ""Gentle walking: Safe and non-straining"", ""Indoor stretching: Limits light exposure"", ""Avoid swimming: Prevent waterborne pathogens""]"
Marijuana Abuse,"Disease: Marijuana Abuse | Disease Description: Marijuana abuse refers to the excessive or harmful use of cannabis, which can lead to cognitive impairment, altered judgment, addiction, and long-term mental health issues. | Precautions Recommendation: Avoid peer pressure, Seek counseling, Build healthy habits, Avoid triggering environments | Medicines Recommendation: ['Behavioral therapy', 'CBT', 'Motivational enhancement therapy', 'No FDA-approved medications', 'Support groups (e.g., NA)'] | Diet Recommendation: ['Hydration (water, herbal teas)', 'Omega-3s for brain health (walnuts, flaxseeds)', 'Foods rich in B vitamins (eggs, poultry, leafy greens)', 'Antioxidant-rich foods (berries, nuts)', 'Limit processed foods'] | Workouts Recommendation: [""Cardio workouts: Boost dopamine and mood"", ""Yoga: Improve focus and reduce cravings"", ""Strength training: Rebuild physical health"", ""Group activities: Enhance social motivation and discipline""]"
Bursitis,"Disease: Bursitis | Disease Description: Bursitis is inflammation of the bursae—small fluid-filled sacs that cushion bones and joints—causing joint pain, swelling, and limited movement, often from repetitive motion or pressure. | Precautions Recommendation: Rest the affected joint, Apply ice packs, Use joint support, Avoid repetitive strain | Medicines Recommendation: ['NSAIDs (e.g., Ibuprofen)', 'Corticosteroid injections', 'Ice packs', 'Physical therapy', 'Antibiotics (if septic bursitis)'] | Diet Recommendation: ['Anti-inflammatory foods (turmeric, ginger, berries)', 'Omega-3 fatty acids (salmon, chia seeds)', 'Vitamin C (bell peppers, citrus fruits)', 'Hydration', 'Avoid processed and fried foods'] | Workouts Recommendation: [""Gentle range-of-motion exercises: Prevent joint stiffness"", ""Low-impact cardio: Like swimming or cycling"", ""Stretching: Keep affected areas flexible"", ""Avoid pressure on joints: Use proper form and padding""]"
